NFILES,NSKIPPED,NCHECKED,NBLOOMMISSES,NBLOOMHITS,NFALSEPOSITIVE,NPOSITIVE,NRECORDS
4818,4752,66,62,4,1,3,7
4818,4752,66,32,34,0,34,46
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,41,25,0,25,36
4818,4752,66,64,2,1,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,53,13,0,13,25
4818,4752,66,64,2,0,2,2
4818,4752,66,52,14,0,14,23
4818,4752,66,65,1,0,1,1
4818,4752,66,41,25,0,25,30
4818,4752,66,63,3,0,3,5
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,22
4818,4752,66,64,2,0,2,2
4818,4752,66,56,10,0,10,12
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
4818,4752,66,46,20,0,20,45
4818,4752,66,61,5,0,5,7
4818,4752,66,64,2,0,2,2
4818,4752,66,37,29,0,29,36
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,1,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,59,7,0,7,19
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,23
4818,4790,28,7,21,0,21,45
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,44,22,1,21,27
4818,4752,66,64,2,0,2,4
4818,4752,66,63,3,0,3,5
4818,4752,66,39,27,0,27,65
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,1,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,62,4,0,4,6
4818,4752,66,57,9,0,9,19
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,0,3,7
4818,4752,66,56,10,0,10,13
4818,4752,66,60,6,0,6,6
4818,4752,66,41,25,0,25,39
4818,4752,66,64,2,0,2,2
4818,4752,66,60,6,0,6,6
4818,4752,66,40,26,0,26,33
4818,4752,66,46,20,0,20,29
4818,4752,66,63,3,0,3,4
4818,4752,66,55,11,0,11,26
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,55,11,0,11,25
4818,4752,66,63,3,0,3,3
4818,4752,66,62,4,0,4,5
4818,4752,66,38,28,0,28,53
4818,4752,66,39,27,0,27,163
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,50,16,0,16,20
4818,4752,66,57,9,0,9,10
4818,4752,66,61,5,0,5,6
4818,4752,66,65,1,0,1,1
4818,4752,66,62,4,1,3,3
4818,4752,66,60,6,0,6,6
4818,4752,66,64,2,0,2,2
4818,4752,66,59,7,0,7,7
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,2
4818,4752,66,64,2,0,2,2
4818,4752,66,30,36,0,36,59
4818,4752,66,64,2,0,2,2
4818,4752,66,64,2,0,2,2
4818,4752,66,62,4,0,4,5
4818,4752,66,65,1,0,1,2
4818,4752,66,64,2,0,2,3
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,24,42,0,42,62
4818,4752,66,61,5,1,4,4
4818,4752,66,60,6,0,6,21
4818,4752,66,65,1,0,1,1
4818,4752,66,59,7,0,7,8
4818,4752,66,65,1,0,1,1
4818,4752,66,32,34,0,34,83
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,9
4818,4752,66,64,2,0,2,3
4818,4752,66,62,4,0,4,5
4818,4752,66,41,25,0,25,30
4818,4752,66,66,0,0,0,0
4818,4752,66,62,4,0,4,7
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,3
4818,4752,66,28,38,0,38,109
4818,4752,66,58,8,0,8,8
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,10
4818,4752,66,65,1,0,1,1
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,50,16,0,16,24
4818,4790,28,11,17,0,17,37
4818,4752,66,44,22,0,22,38
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
4818,4752,66,64,2,0,2,2
4818,4752,66,63,3,0,3,3
4818,4752,66,66,0,0,0,0
4818,4752,66,49,17,0,17,24
4818,4752,66,65,1,0,1,1
4818,4752,66,60,6,1,5,15
4818,4752,66,57,9,0,9,10
4818,4752,66,60,6,0,6,8
4818,4752,66,54,12,0,12,16
4818,4752,66,32,34,0,34,51
4818,4752,66,62,4,0,4,7
4818,4752,66,63,3,1,2,2
4818,4752,66,44,22,0,22,31
4818,4752,66,49,17,0,17,22
4818,4752,66,64,2,1,1,1
4818,4752,66,65,1,0,1,1
4818,4752,66,66,0,0,0,0
4818,4752,66,63,3,0,3,4
4818,4752,66,53,13,0,13,17
4818,4752,66,17,49,0,49,119
4818,4752,66,65,1,0,1,2
4818,4752,66,64,2,0,2,2
4818,4752,66,54,12,0,12,13
4818,4752,66,64,2,0,2,2
4818,4752,66,63,3,0,3,3
4818,4752,66,65,1,0,1,1
4818,4752,66,58,8,0,8,10
4818,4752,66,56,10,0,10,44
4818,4752,66,34,32,0,32,45
4818,4752,66,66,0,0,0,0
4818,4752,66,65,1,0,1,1
4818,4752,66,18,48,0,48,92
4818,4752,66,55,11,0,11,14
4818,4752,66,65,1,0,1,1
4818,4752,66,41,25,0,25,35
4818,4752,66,65,1,0,1,1
4818,4752,66,45,21,0,21,39
4818,4752,66,45,21,0,21,71
4818,4752,66,65,1,0,1,1
4818,4752,66,57,9,0,9,16
4818,4752,66,64,2,0,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,55,11,0,11,16
4818,4752,66,63,3,0,3,4
4818,4752,66,65,1,0,1,1
4818,4752,66,51,15,0,15,18
4818,4752,66,64,2,1,1,1
4818,4752,66,56,10,0,10,16
4818,4752,66,58,8,0,8,9
4818,4752,66,66,0,0,0,0
4818,4752,66,49,17,0,17,23
4818,4752,66,65,1,0,1,1
4818,4752,66,61,5,0,5,8
4818,4752,66,63,3,1,2,2
4818,4752,66,65,1,0,1,1
4818,4752,66,64,2,0,2,2
4818,4752,66,62,4,0,4,5
4818,4752,66,38,28,0,28,37
4818,4752,66,57,9,0,9,12
4818,4752,66,46,20,0,20,35
4818,4752,66,59,7,0,7,8
4818,4752,66,64,2,0,2,3
4818,4752,66,64,2,0,2,2
4818,4752,66,66,0,0,0,0
